id	screen_name	statuses_count	favourites_count	followers_count	friends_count	name	description
574092504	nicolen263	8246	2715	352	331	Nicole Navarro ☪❃	
2998424997	milfsrus1	0	0	1	63	frosen napalatano	Milf Pictures. 18+. NSFW.
2616754663	paytonsalinas3	3166	3076	187	1050	Payton Salinas	| AMO❤️| football⚽️ |
304361685	NinaSpink1	30	44	24	75	Freddie Boxer Dog 	
40798106	alexandraaforte	5703	2770	119	150	Alexandra	‏‏شو بدي بهالسغلة
600643303	barberrian	180	317	112	454	chris berrian	#gatorgang
2355217057	emilyy174	105	142	9	37	Emily T	
2208180572	torifoe	761	3028	246	257	Victoria❄️	The best and most beautiful things in the world can't be seen or touched. They must be felt with the heart. - Hellen Keller
401708219	ewarnock3	1821	8060	251	297	Emily Warnock	ॐ
217829802	brysonrial	3526	684	403	405	bryson rial	Isaiah 41:10 | OBU ⚽️ | Women of EEE
197454518	DenisTherriault	10352	78	7489	585	Denis Therriault	Journaliste à l'émission JE, TVA Nouvelles. Pour me rejoindre : denis.therriault@tva.ca
2998491376	NwiSmith	3	0	0	32	Nick Smith	
2977140260	darius_benjamin	13	11	20	124	Darius Benjamin	
2256854168	Hunnydolcee	31130	15570	1373	457	Grim Reaper☠	like snow..beautiful but cold.
1152026851	HaleyBright52	3935	9617	307	345	Haley Bright	Attending the Eastland Career Center for Graphic Design. ❤️VOLLEYBALL IS LIFE I really love music and art! Follow me :)
458226570	Lsexy14	1609	4339	355	327	Luis Aguirre	2 legit 2 quit
359588858	alpall01	2536	578	92	450	Allie Sloan	
2924571468	gothamcatcare	18	23	26	357	Gotham City Cat Care	Cat sitters serving the NYC area. Insured, bonded for your peace of mind!  Part of proceeds donated to a local animal rescue group in NYC, Ready for Rescue.
2998486180	ramosstephanie3	0	0	0	59	stephanie ramos	
840160891	Trinityrenee_	3679	1885	383	645	Trin	i want to be a marine  and then be on a SWAT team. soccer ⚽️ snapchat; obeytrinity Big Ben has my heart
221018212	Emly_turner	1321	475	573	361	Emily Turner	Jesus, family, and friends complete me. #EasternKentuckyUniversity
430965666	jpass23	10697	5016	690	559	John Pass#⃣1⃣8⃣	St. Cloud State Wide Receiver #18 ||IL✈️MN||
1682023980	RonanODonnell42	72	64	71	46	47	
528933102	slovell212	5754	1421	540	218	Sarah Lovell	instagram: sarah_lovell121 snapchat: sarah_lovell121|Rip Sully ❤️
2915506366	didneylan17	41	203	8	76	Christine 	
2392114548	lxwleyqueen	3647	3119	224	216	soobie	im one of the nicest assholes you could ever hope to meet
2996176496	marie_amazontrp	0	0	1	38	marie orlin	
2998480048	JaegerColeman	0	0	0	15	Coleman Jaeger 	
2312875226	NobleNatashaa	269	3317	254	272	Natasha Boorom	Not sassy. Sophisticated.
2848028093	JamieCharles97	13	51	36	67	Jamie Charles	
2224551252	miricavioleta	2	74	54	708	Violet 	Live as if tomorrow would not be
124315436	summerwheeler	814	2404	130	125	Summer Wheeler	| University of Texas '18 ||||||||||||| arent these cool|| | ||| //
615675796	kellymariano97	17132	4425	1207	1172	kelly	Its a wonder what a smile can do
98457366	diegonarvg	2787	1088	209	367	Diego Narváez	
431659410	BRobs5	1501	931	274	244	Brandon Roberts	
2996175872	EdwardRembert	0	0	1	61	Edward Rembert	
2998406829	RoboticsAcdmyGA	0	0	0	38	Robotics Academy_GA	
26549724	amy_longdon	137	36	55	387	Amy Longdon	Digital government gal - all views are my own. |Can be found talking about tv or golf.
489038600	Taysaurlove	1874	375	149	295	ShankMeOrSpankMeXo	Tay. 18. MN.
2998478194	maryyhebden	0	0	5	41	Mary Hebden	
384723378	callherkatie10	1986	451	244	194	Katie Smith	•University of Oregon || Alpha Chi Omega•
2996173256	Dianna58162Dw	1	0	1	38	Dianna	
2998405377	dm_fos	5	0	1	30	DEETRA FOSTER	
2996134800	ElmoHasNoFuckss	0	0	3	61	Elmo Bates 	
2998461928	theamitchelllol	0	1	3	29	Thea Mitchell	
239666957	Ssnow22	4705	1475	170	313	Sarah Snow	stay weird.
2998473100	maninwasteland	0	0	1	40	Rob	
2781442290	mommahoward12	2	18	6	17	Christie Howard	
1426497758	Rodie_So	715	2633	104	93	Sophia Rodin ☁️	• sorry don't sweeten my tea •
2998472116	grand_erick	0	0	3	34	erick jeovanny grand	
2998396071	peacefrogdd1	0	0	3	23	Donna Diaz	
2998288000	AbdiFatush446	0	0	7	224	FatushAbdi	
2998397901	mhigg22	0	0	7	171	Mike Higgenbottom	
546233714	sydney_audet	5368	3319	329	279	Sydney	
319246517	tinywings_12	789	98	569	384	Cam Clark	You Live, You Love, and You Learn        10/30/11.                                                         ΣX
455134429	nicki_b123	1026	402	161	366	nicola booth	hairdresser/Barber.
2996194981	Sparks5thGrade	0	0	2	40	Lauryn Sparks	
158680208	EvieSoKal	38374	1869	273	277	Evil Evie	“You hear that bitches, I’m gonna last forever!”
353497624	reeeidbohannn	5693	647	397	272	Reid Marie	and if not, He is still good // enjoy the little things
2998433975	crice544	0	0	2	40	Courtney Rice	
2158562139	ttluvsdogs	277	501	29	90	Taylor Tischendorf	
739457893	Luvableme102	1554	188	23	355	AshBash❤️	
840822265	amandamazing_16	3693	1923	332	351	✖️✖️Manda✖️✖️	the wolf that wins is the wolf you feed
2244656179	sean_rogan10	19	9	97	414	Sean Rogan	
74700300	paola_maldini	11208	123	256	55	paola maldini	буржуй и мизантроп
2914964376	gr640	57	52	21	139	Gabby Ruiz	
85010015	LilMil27	5451	2930	229	221	R⚡	Finally turned 13
308231218	aleeiawilson	4677	5930	847	812	Aleeia Wilson	be the change you want to see in the world.
591589068	jprouleau	138	1	21	49	Jean-Pierre Rouleau	Conseiller en vins accrédité
924391722	rslavs	13	199	17	20	rslavs	
2288780509	tammislea	3	38	19	25	Tamara Compton	
2998393395	govselect	0	0	7	39	steven fox	
2998422671	jaydabrooke1	0	1	3	18	Jayda Faulkner	
2998425443	Sagar_50_Gamer	0	0	6	41	Sagar	
2583002678	becca_tenner	774	455	289	1251	becca tenner	i know a thing or two about a thing or two -calum hood
2620890425	daniel465129	7	3	2	14	Dan	
1196111102	laurennjarvis	4010	16220	338	357	Lauren	i never look back, darling. it distracts me from the now -edna mode
2996129424	KKylance	0	1	2	25	Kyla G.	Irony is key *poop emoji*
2996165468	RaquelG94470703	0	0	0	83	Raquel González	
2225873017	erin_kochan	439	890	138	172	Erin Kochan	Just smile and your world will turn upside down :)
2998452844	Hooker_Bath	0	0	3	23	Hooker Bath 	
1977044298	aly_nicole07	1358	1713	309	416	aly platt	make your dreams come true ✌️
2998384167	dnill6479	0	0	3	40	Daniel Nill	
357276855	rachelcolletta	538	602	195	308	Rachel Colletta	
2998416731	Umaine2018	1	0	6	40	Umaine Class of 2018	This is the official twitter page of the University of Maine Class of 2018 Class Council
2998444378	janemariavas	0	0	4	59	Jane Vasquez	
2996070120	mcaneup1	1	0	8	159	Matthew Caneup	
2820702651	ruiner6	2010	3531	723	211	Aoibheann	Kickboxer and outdoors enthusiast. Pro America. Anti Obama. Islam=death cult. Let's bring back the 'good old days'.
2891525197	MsTinaKristina	0	0	3	27	Tina Kristina	
257166104	KaitNicole38	12473	5626	1496	1299	Kaitlyn Guidry	Pre-Vet Biology Major. UNCC'17. Instagram: Kaitnicole38
2998405421	mja3331608	0	0	4	42	tina m jacobs	
2609838346	foodand5sauce	2779	843	320	713	hi	hi ✌️
862301191	MaddieBaldinski	6617	1617	211	270	Madeline Baldwin	James Madison University 2017
2998411319	joeloveslego	4	1	11	177	Josepharroncummings	
2998395641	ElihanV	2	1	2	67	Elihan Vasquez	elihan hala madrid
984036787	inhoorn1	0	1	6	75	In Hoorn	
2998380249	DylanRainbows	0	0	2	40	Dylan Rainbows	
2996126334	AlexisHylto	1	0	0	25	abagail alexis hylto	
770495238	JimJam1312	73	4	19	94	Jim Leaky	i'm quiet, play games and read marvel, get over it :p
363998270	lacinicole97	5111	3719	205	191	laci	there's more to myself than anyone has so far discovered.
541632301	megan_soucy17	1508	2114	167	299	ᎷᏋᏩᎯᏁ	• mhs class of '17 •
2998361769	gerbrit171	1	0	1	173	Brittany germanson	
545470170	MeganElliss1	6792	357	516	337	meg	X ben X
352559115	jordanhuber23	1761	1320	354	152	Jordan Huber	20
2593812570	PaulinaGlowacki	843	870	23	74	Paulina Glowacki	
2332269916	KristenBowman95	7389	468	449	572	Kristen.	If I'm flying solo, at least I'm flying free.
473579145	slamduck_	3615	4356	129	196	devon 	controversial yet mundane
2998402631	khuffman29	0	0	0	34	Kimberly J Huffman	
2184418680	hittle_krisann	7	17	7	45	Krisann Hittle	College for Paramedics & Nursing. EMT-B in Indiana! I've survived 18 years on this Earth! I have a pretty awesome guy in my life! Animals are my weakness!
2758823651	jreeves_13	1367	1421	251	246	jordan	We're never gonna change the world by standing still.
513494978	bgnamcor	132	24	8	43	Marko Milosavljevic	
1212699194	cyaramarie	10826	9066	444	345	Cyara Souders	•enjoy the little things in life•
2996185891	weatherbird_w	0	0	5	40	Carl W.Weatherman	
494572871	S_Tate15	2115	2841	497	282	Sebby Langheinrich	
634109350	YungMcLavish	10802	6701	545	273	Bryce Hinton	I LIKE FUPAS
2996097785	Anthonygentile_	0	0	9	81	Anthony Gentile	
2181460298	sassykaat	6325	12018	410	268	Kathy Do	all foods b4 dudes
2998361697	Lynn5707688446	0	0	9	359	lynn	
2998372635	gerald_lemay	1	0	1	60	Gerald Lemay	
2998403567	patdesherlia1	0	0	10	60	patdesherlia	
584556702	paultomothomas	41	39	13	79	Paul Thomas	
2998341016	Puppy_Palooza	7	1	3	23	PuppyPalooza	
609415804	bfoley1487	781	336	422	466	Brandon Foley 	C of O. English Education Major. Chiefs. Cardinals. Lakers.
2998401773	NashGFX	4	0	2	64	Nash,ShaQuan	
152413641	ShareeseCrump	8212	3710	409	358	Shareese☀️	Saved by grace⚪️Younglife⚪️Joshua 1:9
930216403	tyler_kisling68	951	1121	139	215	TK	Faith. Baseball. Hunting.
2996123844	ProductionsReel	0	0	0	40	Reel Productions	We are Reel Productions: David Escobar and Jamie Perez. We help turn your film, photo and design ideas into a real product for a reasonable price.
2996122374	thinkandbenow	2	0	4	28	Katherine France	
131563701	djujean	13131	26	364	135	yu	DJとか言ってるけど、ただのバンコク在住の音楽好きです。でも、本当にDJもします。家でMIX CD作ってるだけなんだけどね（笑）
2996160692	KLHuddlestun	2	0	3	48	Kathy Huddlestun	
150445275	MollyMonroe13	3190	7172	308	280	Molly Monroe	MSW Student at UIUC
1108249682	alyssaalynn_	3533	3893	272	219	lys ❁	full of sunshine ☀ reno
2996155580	Jennlove57	1	0	10	33	Jennifer	
2637806956	JvR14Meris	58	3	97	404	Merissa	Currently studying at NMMU! Living in PE, South Africa! Enjoy reading, sport, cycling and animals! In love with my soul mate and best friend, Christo van Eeden!
942421003	Kirsty_Jones95	12	2	28	51	Kirsty Marie Jones	
159617817	Paula2811	384	72	84	226	Paula Mitchell	I'm just me!!
731034002	anilpeyis	896	685	138	268	Anıl	ankara. odtü (che-ie)
36380608	BethanyHanks	377	180	57	206	Bethany Hanks	Writer, Editor
2996122572	GreggCgosf	0	0	5	40	Carmel Gregg	
377160311	alex_marie21	5	1	14	21	Alex Parrish	
387881291	alslimm38	1404	272	123	284	alison slimm	
2998394111	twitSanteago	0	1	2	40	Otono	
2998429342	mesbsa	0	0	3	39	meysam 	
2586702067	_gabbyrj	3125	3971	295	239	Mia Wallace	just an opinionated lil basshead
242447162	KentDevaney	6948	1492	1262	412	Kentrick Lamar	
2996119896	huss1732	0	0	2	41	Mike Hulsebusch	
416823033	EmilyyBass	7619	5539	455	275	Emily Bass	
800818416	niiicolette_	10344	3076	469	203	Nicccc.♡♡	Mrs. Andino | ♡71213♡
2348758482	wafasoufi	1356	1247	481	461	Wafa	
71072943	pausetheTVO	1538	2468	179	332	Taylor Voelker	Mysterium tremendum et fascinans
604106166	MonsonRachel	643	1485	129	247	Rachel Melanie	#cyclONEnation 工 ﾚo\/乇 ㄚ◯∪ 2 ∞ & b乇ㄚ◯nD
2996345254	Lloynetta2	4	0	0	12	Lloynetta 	
702067878	XxThat0neGuYxX	1784	963	302	393	Ian Dunn™	Shelley Anne is the bees knees  Working on my life, so dont get in the way.
450129571	dragonboy192	4097	14665	373	1199	Cody Miller	
2457248528	symbxls	1239	912	147	463	Sym	squad @audzys @MLGSquidRat @HeistMidas bruv: @SebbyAX
481819150	shoffaibra	22678	25	273	205	A'im	Guide Lover~
22266907	carlasimps	301	514	103	165	Carla Simpson	
166200268	LzDubbz	33984	7838	1496	888	Leyla	Seeing a world in actuality, if you must know
2429909407	CathyRaines3	0	2	2	215	Cathy Raines	
2996307995	amp92_2010	1	0	4	26	April Peters	
338036331	jubilantsing	1	0	8	47	Terri Steinhorst	
606623312	dancrenna	0	12	2	300	ynot	
582484555	vbhardwaj1990	75	71	24	538	Vivek Bhardwaj	fun loving guy..mad cricket lover..want to enjoy every moment of life..will never stop my journey ..having big dreams in eyes..follow me..u will just love.. me
2996275137	kala_stafford	0	0	12	62	Kala Stafford	
2584564675	gvzzy	1184	1582	125	57	guzzy	
1967232276	natalieekeating	18002	15630	532	347	keAts	ya
2173150134	oliviagrace_14	1055	3090	286	341	Olivia Sehlhorst	She is clothed with strength and dignity, and she laughs without fear of the future ✨Proverbs 31:25
189536995	lundonycheng	369	795	205	847	Lundon	Hi
2996271225	caterpillarck	0	0	0	16	Tammy Forristall	
350481294	RRwojick	6018	25298	316	325	eggnog	http://t.co/vAt4khicGv
2306721250	kmcillo	2181	2177	195	325	ovaries	*lizzie mcguire theme song*
2958886328	SHSLBikerButter	7	3	46	35	Mondo Owada	Names Mondo Owada. Nice to fuckin meetcha. My body makes the best damn butter in Japan. Main account: @MKWhopper
190008741	osteyj	2164	3675	400	431	jo osterbauer	time to go if you dont dig techno
320385489	hannahhtremblay	25318	6255	560	395	Hannah	born at a very young age and living vicariously through myself
465234404	pkonsss	2143	4197	246	199	Paige	
256623839	nickhoffman5	2686	448	46	56	nick hoffman	Doing it for the kids.
2823664057	travisjustin79	45	60	228	1067	Travis	Love the outdoors, photography and nature. All pics taken by me.
2377413695	brieruch2	329	150	230	468	Brianna Ruch	вє уσυяѕєℓf, αи∂ ¢яαzу ιf уσυ ωαит тσ!|~вяιαииα яυ¢н♡
2996341102	LorKenn	3	0	5	61	lor_kenn	
2275263461	ya_durrrra	1106	353	48	28	хм....	люблю угарать!
1548404888	RondeauIsabella	4048	1779	654	923	bella rondeau	Persian Armenian Italian. Snap bellaronndeau
402980458	leahsunschell	916	674	126	277	Leah Schell	~*~*~ NO RAGRETS ~*~*~
324584580	luchomariani	913	277	218	642	Gallagher	Teórico de la paradoja de John Connor - Sistémico Unlu
2972965403	khloesmom04	6	17	33	228	lvoyles	
2936431214	SnyderGaby	0	34	0	60	ybagredyns	
443961267	kateharrison10	12997	1837	600	920	jelly belly 	
307720970	QueenOfRamble	127	10	38	134	Ames Heffner	Spiritualist, Writer, Lover of Music, Roleplayer, Video and Board gamer, Practitioner of Mindfulness and DBT Exercises, Crafter, Painter and Artist, Reader
804691074	jesshodgson_	1295	1075	235	237	Jessica Hodgson	I live to love and laugh a lot and that's all I need- UConn- Kappa Alpha Theta
2995006591	arifnawaz72911	0	0	2	40	arif nawaz	
2996298749	Melissa_L2015	10	0	6	48	Melissa	
2193748718	nashaun_nekeia	1865	796	329	767	Nashaun_2loyal4u	Actions say it all! I'm cool af. You cross me, I'm plottin! Str8lykdat...missin my Gee!!
2996337046	Thunderbergs	2	0	3	45	Tori Bergens	Fashionista, passionista, and dork.
1730485434	SweetJP18	0	8	51	992	Jeannie Padilla	
2994937050	kayymarie513	1	6	12	57	Kayla Marie Davis	
2349411036	McCarthyBow	9002	3711	335	1006	Sox	in the process of being a better person bc im dating taylor
1834913772	_kavi_collins	166	669	103	150	Kavi Collins	The devil says they are all mine, Jesus says over my dead body.
750512797	briannnahall	566	1137	168	230	Brianna Hall	
2996172231	camilaaguila3	1	0	12	125	cami	vivir la vida...
302358857	thatsDEBatablee	3156	1575	541	483	Deborah Milani	Don't worry be happy (:
2994942660	jeslynnrosesw	0	0	2	26	Jeslynn Swayne	
2996265093	leahabramo	5	34	67	130	Leah	
159703409	PeyTCruiser	11520	9512	3455	706	Peyton Lee	i'm 5 foot 2 i wanna dance with you and i'm sophisticated fun
343203413	Sillyeddie13	4633	3397	462	719	Eduardo Brito	snapchat: sillyeddie Kik: sillyeddie13
2996258847	David_Franco_NY	1	0	4	40	David Franco	
2994965204	LMinor28	1	0	6	60	Larry	
2350417249	MuhPlastic	4287	235	157	240	MuhPlastic	Gay nerd who collects toys and complains about things. My collection: http://t.co/a8aXUbM9WB
101884961	cecilydenham	2847	1405	240	169	Cecily Denham✝	✨ APU. Chandler, AZ.✨
2996292365	raleighwren	0	0	2	40	Everyone's Wedding	
464448816	liliboo_	9136	6657	277	250	Liliana	
549575421	kirstyywilson	1168	497	340	367	kirst	
2994995977	amybriant74	2	0	7	37	Amy Briant	
2994997495	Seraderpity	4	0	8	30	Angeline Peay	
2934346086	lmgreggstudio	1	0	4	114	Lacey Gregg	
2996289599	abb3ylan3Ellen	2	0	1	55	Linda Moro	
27921402	patticouture	27	3	5	221	Patti Couture	Mom. Wife. Programmer. Musician. Photographer.
423775272	jpsportfan23	4968	20	63	659	Jared Price	Braves fan, Vols fan, Predators fan, and Titans fan
2994983023	waitsss	0	0	1	142	warmlys	
2994922430	northerngirl061	38	30	21	141	Northern Girl	Canadian girl, born and raised.
212453006	amandaglass8	2522	643	336	340	Amanda Glass	UC Berkeley alum. 2nd grade teacher... I am not in it for the income. I am in it for the outcome....
2994933750	lion_spring	1	0	6	56	Lion Spring	Dreamlike ethereal pop, halfway between folk and electronica, between sublime desert terrain and stark urban landscape. Debut EP to be released 3/15.
2874705003	yanashley0304	253	5	40	313	Ashley Yan 	
36842036	ruthfulgrace	594	37	94	302	Ruthie Whalen	
2994128798	_ibitchalot3000	10	6	12	118	emily	¯\_(ツ)_/¯
415263514	jackieecarterr	2408	1747	301	299	Jackie  Carter	some people call me the gangster of love
2994930576	ARareBreed78	1	1	6	23	QuitePossiblyHuman	bloodlines include British, Norwegian, Irish, American, and a spot of Cherokee Indian. Represent! #WhoDat
2996279987	NuralawanNura	2	0	19	473	nura lawan	
189545458	CNicolator	1376	114	525	1058	chloeb	I'm Chloe, 17 and that's it
2990266015	SpoonCathy	107	257	32	90	Cathy Spoon	I Aɖʍɨʀɛ Tɦɛ Bɛaʊtʏ Oʄ Natʊʀɛ❤
2950325645	slicknichobbs	87	126	209	726	Nic Hobbs	New twit| God above all
2929477639	slothemi	392	67	66	106	Noemi	
344129331	Sh_mealz	4171	2823	388	473	Peaches	Miss ya. Love ya
2996252055	esmerli73084424	0	0	0	37	esmerlin	
355662107	Bigmeechhhh	11873	1140	232	234	Ricky Bobby	Everything Im Not Made Me Everything I Am
2994918636	wandafaith3	0	0	1	41	wanda gibson	
352007279	Salena_N7	1494	1068	398	357	Salena Nguyen	
2994980491	ClayMers34	0	0	4	39	malcom clay mers	
236210175	ncdingwall	6974	7341	407	387	young messiah	RIP alex! hockey *kzoo* *Detroit MI* #YoungTwist #RaveLife
258923136	stephanierossii	3245	7800	392	373	Stephanie Rossi	Peters Township Dance Team
112585216	Gaby9411	621	51	153	206	Gaby Ponce	Rewrite your life|Change your destiny
2830703265	josh250carter	7	47	38	87	Josh Carter	glenville state college, dirt bikes, hunting
251771206	ashleylovesyoo1	862	4443	317	420	ashwee	west point commit
2994924618	1DAF99	1	0	10	67	Is	Pizza and cats are my passion
2963067959	connytschiva	3	7	1	27	Conny Tschiwa	
235004589	Aidantrocks	75	88	83	137	Aidan Taylor	follow me on tumbr
562407823	DebKilday	1	1	8	65	Deb Kilday	
408203179	kristen_bond	20459	12321	745	378	kristen☽	Matt❤️
15488475	erinjanelle_	11790	1335	161	153	Erin ☼	ig: erinjanelle_
763079401	tabathalauren_	15486	6548	666	619	TLC	ur girl juicy // chs ❤️
2996282363	mayamargarete	3	0	1	42	Maya E	I am a student. I enjoy youtube, model UN, and youtube. And tumblr. And youtube.
29232199	abbiemalin0105	1074	2855	146	122	Abbie Malin	alright alright alright
249665996	Paws4ACure	1872	122	651	984	Paws 4 A Cure	Paws 4 A Cure provides financial assistance to qualified families throughout the US who cannot afford veterinary care for their furry family members.
2996281835	yray19	0	0	5	52	Yuri 	
2996278733	lavoie_macey	1	0	5	28	Macey Lavoie 	
2994959816	joncozart14	8	29	18	70	Chelsea Rivera	
2996244291	ReannaBaxley	4	2	3	36	Reanna	
1881204745	kareemmady61	2272	126	460	75	M A D Y 	Mashrou' leila - Cairokee - Coldplay - Sia
2996313544	pbsprincess	2	1	3	45	pb515608@gmail.com	
415951551	JessieThompson5	494	562	139	172	Jessica Thompson	Life is one grand, sweet song, so let the music play.
2996312914	michaelabibb1	0	0	4	40	michaelabibb	
952846819	Aliya_Orenstein	72	326	101	85	Aliya	
125799360	V_Money27	107834	29970	519	134	squanto	i love dogs and weather
794912203	Hopeless_xoxo	2419	1180	341	308	Siera ☮	Darkness exist to make life truly count|Instagram: @Hopelessplace_xoxo
2996272607	ScarlettsRhettB	0	0	1	40	Cheryl Piercy	
2996309794	BITCHALLONME1	2	18	2	32	BITCHALLONME	
20622070	MegClare	3116	403	289	389	Megan Hocking	Account Executive @BerkeleyPR
2996311552	Tycash2082	1	0	15	62	Ty Cheatham	
879805292	mitaliraj01	32	20	19	86	mitali 	
1588643941	mierKAT_	4846	3600	144	221	Katie	my body is green I am a meme -nathan burns
2953597870	g0dsg1rl_	369	1744	649	709	ginger for Jesus♡	✨ | I'm a strawberry-blonde after God | I'm here to give encouragement and advice ❤ | If I live, I live for Christ. If I die, I die for Christ| ✨
62612119	garrebearr	3504	13968	709	193	Gary Johnson	
2991145976	13BlueTCA	11	0	8	20	Meghan	Meghan is a club volleyball player who likes to keep you inspired ;)
2810127888	natalienv427	2753	3515	158	183	nat	@zaynmalik @real_liam_payne
1572315914	lucas_jett	2195	1788	343	392	jetty marcelletti	@barriermetal 21 loose cannon cop who doesnt play by the rules
2994968077	WhiteWerewolves	1	24	5	43	Anette 	
57498779	valentinaraffo	1292	363	117	161	Valentina 	talk to strangers. |Buenos Aires
2996272481	james_abed	0	0	1	40	james abed	
502381168	fj_1010	3449	5432	115	97	Fawziya	
2994424094	Leebich1	1	1	7	53	Lee koala	
2941207541	tollstamanna	55	27	11	34	Anna Tollstam	•i'd rather be in Nashville•hunter hayes//sam smith•
2994945230	marsxx44	0	0	5	60	martha rivera	
1109649787	rmhennessey98	96	346	81	86	Rienn Hennessey	
1734822168	HarshSwine	3751	2625	126	307	Harsh Swine	
216539171	kiagroya	7206	3018	380	360	kia groya	Find what you love and let it kill you
382322514	_megrice	5650	11303	453	353	Meg	keep moving forward
2341238333	maggie_mac1298	562	1619	87	114	mh	i refuse to drown in this deadly ocean you call society
2996307694	ZellwegerCSBJ	0	0	1	76	Zellweger Consulting	
287347905	heyitsallyyy	1128	380	2967	438	☯	♉️
2179370455	mindlesstropics	46	14	63	246	tashoy clacken	I love MB. pizza, BK, hot wings, to listen to music, sing
2994937058	mohamedtahadar	1	1	4	55	Mohamedtahadar	
2820770714	averyodaniell	182	1016	118	161	Avery	
